ID,Latitude,Longitude
4084557,11.20833333,-0.291666667
4084558,11.20833333,-0.208333333
4088875,11.125,-0.458333333
4088876,11.125,-0.375
4088877,11.125,-0.291666667
4088878,11.125,-0.208333333
4088879,11.125,-0.125
4088880,11.125,-0.041666667
4088881,11.125,0.041666667
4093166,11.04166667,-2.875
4093167,11.04166667,-2.791666667
4093168,11.04166667,-2.708333333
4093169,11.04166667,-2.625
4093170,11.04166667,-2.541666667
4093171,11.04166667,-2.458333333
4093172,11.04166667,-2.375
4093173,11.04166667,-2.291666667
4093174,11.04166667,-2.208333333
4093175,11.04166667,-2.125
4093176,11.04166667,-2.041666667
4093177,11.04166667,-1.958333333
4093178,11.04166667,-1.875
4093179,11.04166667,-1.791666667
4093180,11.04166667,-1.708333333
4093181,11.04166667,-1.625
4093182,11.04166667,-1.541666667
4093183,11.04166667,-1.458333333
4093184,11.04166667,-1.375
4093187,11.04166667,-1.125
4093188,11.04166667,-1.041666667
4093189,11.04166667,-0.958333333
4093190,11.04166667,-0.875
4093191,11.04166667,-0.791666667
4093194,11.04166667,-0.541666667
4093195,11.04166667,-0.458333333
4093196,11.04166667,-0.375
4093197,11.04166667,-0.291666667
4093198,11.04166667,-0.208333333
4093199,11.04166667,-0.125
4093200,11.04166667,-0.041666667
4093201,11.04166667,0.041666667
4097486,10.95833333,-2.875
4097487,10.95833333,-2.791666667
4097488,10.95833333,-2.708333333
4097489,10.95833333,-2.625
4097490,10.95833333,-2.541666667
4097491,10.95833333,-2.458333333
4097492,10.95833333,-2.375
4097493,10.95833333,-2.291666667
4097494,10.95833333,-2.208333333
4097495,10.95833333,-2.125
4097496,10.95833333,-2.041666667
4097497,10.95833333,-1.958333333
4097498,10.95833333,-1.875
4097499,10.95833333,-1.791666667
4097500,10.95833333,-1.708333333
4097501,10.95833333,-1.625
4097502,10.95833333,-1.541666667
4097503,10.95833333,-1.458333333
4097504,10.95833333,-1.375
4097505,10.95833333,-1.291666667
4097506,10.95833333,-1.208333333
4097507,10.95833333,-1.125
4097508,10.95833333,-1.041666667
4097509,10.95833333,-0.958333333
4097510,10.95833333,-0.875
4097511,10.95833333,-0.791666667
4097512,10.95833333,-0.708333333
4097513,10.95833333,-0.625
4097514,10.95833333,-0.541666667
4097515,10.95833333,-0.458333333
4097516,10.95833333,-0.375
4097517,10.95833333,-0.291666667
4097518,10.95833333,-0.208333333
4097519,10.95833333,-0.125
4097520,10.95833333,-0.041666667
4097521,10.95833333,0.041666667
4101806,10.875,-2.875
4101807,10.875,-2.791666667
4101808,10.875,-2.708333333
4101809,10.875,-2.625
4101810,10.875,-2.541666667
4101811,10.875,-2.458333333
4101812,10.875,-2.375
4101813,10.875,-2.291666667
4101814,10.875,-2.208333333
4101815,10.875,-2.125
4101816,10.875,-2.041666667
4101817,10.875,-1.958333333
4101818,10.875,-1.875
4101819,10.875,-1.791666667
4101820,10.875,-1.708333333
4101821,10.875,-1.625
4101822,10.875,-1.541666667
4101823,10.875,-1.458333333
4101824,10.875,-1.375
4101825,10.875,-1.291666667
4101826,10.875,-1.208333333
4101827,10.875,-1.125
4101828,10.875,-1.041666667
4101829,10.875,-0.958333333
4101830,10.875,-0.875
4101831,10.875,-0.791666667
4101832,10.875,-0.708333333
4101833,10.875,-0.625
4101834,10.875,-0.541666667
4101835,10.875,-0.458333333
4101836,10.875,-0.375
4101837,10.875,-0.291666667
4101838,10.875,-0.208333333
4101839,10.875,-0.125
4101840,10.875,-0.041666667
4106126,10.79166667,-2.875
4106127,10.79166667,-2.791666667
4106128,10.79166667,-2.708333333
4106129,10.79166667,-2.625
4106130,10.79166667,-2.541666667
4106131,10.79166667,-2.458333333
4106132,10.79166667,-2.375
4106133,10.79166667,-2.291666667
4106134,10.79166667,-2.208333333
4106135,10.79166667,-2.125
4106136,10.79166667,-2.041666667
4106137,10.79166667,-1.958333333
4106138,10.79166667,-1.875
4106139,10.79166667,-1.791666667
4106140,10.79166667,-1.708333333
